rating,helpfulness,hair_color,brand_name,price_usd,review_length
1,0.5,gray,Algenist,85.0,135
5,1.0,black,Algenist,58.0,516
5,0.9230769872665404,,Algenist,38.0,634
5,1.0,,Algenist,85.0,495
5,,black,Algenist,70.0,184
5,0.9285709857940674,brown,Algenist,38.0,1849
4,1.0,black,Algenist,85.0,654
5,0.9166669845581056,,Algenist,70.0,238
5,0.6785709857940674,blonde,Algenist,96.0,623
4,0.3703700006008148,brown,Algenist,85.0,368
5,0.75,blonde,Algenist,85.0,438
3,,brown,Algenist,72.0,69
5,0.875,brown,Algenist,38.0,1468
1,0.4444440007209778,,Algenist,70.0,40
5,1.0,blonde,Algenist,40.0,105
5,0.625,blonde,Algenist,40.0,282
5,0.800000011920929,blonde,Algenist,38.0,156
5,0.800000011920929,blonde,Algenist,74.0,150
5,0.8888890147209167,brown,Algenist,70.0,151
3,0.1199999973177909,,Algenist,25.0,192
5,0.6923080086708069,blonde,Algenist,85.0,589
5,0.9375,brown,Algenist,58.0,771
5,,black,Algenist,58.0,363
5,0.5,blonde,Algenist,85.0,637
5,0.875,brown,Algenist,70.0,440
5,1.0,,Algenist,58.0,384
5,0.9411759972572328,brown,Algenist,58.0,1746
4,0.4444440007209778,red,Algenist,25.0,203
5,1.0,blonde,Algenist,58.0,458
5,1.0,brown,Algenist,85.0,378
4,1.0,black,Algenist,58.0,164
5,1.0,,Algenist,74.0,460
5,0.9436619877815248,brown,Algenist,84.0,108
1,0.0,brown,Algenist,72.0,158
5,1.0,black,Algenist,72.0,1026
5,0.7142860293388367,blonde,Algenist,85.0,167
5,0.8333330154418945,brown,Algenist,85.0,276
5,0.9512190222740172,,Algenist,85.0,849
5,1.0,brown,Algenist,58.0,61
5,1.0,brown,Algenist,58.0,170
5,1.0,black,Algenist,85.0,186
4,0.6000000238418579,brown,Algenist,25.0,432
5,1.0,brown,Algenist,58.0,149
4,1.0,auburn,Algenist,58.0,187
3,0.0,,Algenist,74.0,53
5,1.0,black,Algenist,38.0,116
5,0.75,,Algenist,96.0,356
5,0.0,brunette,Algenist,85.0,0
4,0.9285709857940674,,Algenist,85.0,245
5,0.6666669845581055,black,Algenist,58.0,313
5,0.5,brown,Algenist,38.0,232
1,0.4000000059604645,brown,Algenist,70.0,345
4,1.0,black,Algenist,25.0,95
1,0.3846150040626526,brown,Algenist,85.0,478
5,0.8333330154418945,blonde,Algenist,38.0,512
1,0.5,,Algenist,40.0,499
5,0.6666669845581055,blonde,Algenist,85.0,62
5,0.9285709857940674,,Algenist,85.0,372
4,0.9130430221557616,,Algenist,70.0,707
5,0.6000000238418579,brown,Algenist,85.0,107
5,0.5,brown,Algenist,74.0,50
1,0.03125,blonde,Algenist,70.0,126
1,0.0,,Algenist,74.0,287
1,1.0,blonde,Algenist,40.0,344
5,1.0,brown,Algenist,58.0,150
5,1.0,brown,Algenist,58.0,449
2,0.4375,auburn,Algenist,85.0,300
5,0.6666669845581055,brown,Algenist,74.0,119
5,1.0,black,Algenist,98.0,181
1,1.0,auburn,Algenist,85.0,286
5,0.5,,Algenist,85.0,125
5,1.0,black,Algenist,85.0,477
5,0.7058820128440857,red,Algenist,38.0,541
5,0.9166669845581056,brown,Algenist,38.0,320
1,0.9166669845581056,blonde,Algenist,85.0,86
5,1.0,,Algenist,85.0,396
5,0.947368025779724,,Algenist,74.0,462
5,0.0,black,Algenist,85.0,68
5,1.0,brown,Algenist,58.0,127
5,0.6666669845581055,auburn,Algenist,74.0,158
3,0.8500000238418579,blonde,Algenist,58.0,464
5,0.75,,Algenist,74.0,435
5,,brown,Algenist,38.0,409
5,0.5,,Algenist,70.0,320
5,0.6666669845581055,black,Algenist,96.0,221
1,0.4000000059604645,brown,Algenist,84.0,241
5,0.0,brown,Algenist,85.0,298
5,1.0,,Algenist,74.0,1151
5,0.6785709857940674,black,Algenist,85.0,789
5,0.5199999809265137,black,Algenist,98.0,357
5,1.0,brown,Algenist,85.0,339
5,1.0,blonde,Algenist,38.0,442
4,0.800000011920929,blonde,Algenist,70.0,615
4,0.9047620296478271,black,Algenist,85.0,326
5,0.0,blonde,Algenist,38.0,22
5,1.0,brown,Algenist,58.0,305
5,1.0,brown,Algenist,85.0,533
5,0.935064971446991,gray,Algenist,98.0,974
5,0.8636360168457031,brown,Algenist,98.0,489
5,0.7142860293388367,,Algenist,74.0,102
